iter	RMSE
0	1940873.788
1	1877643.089
2	1815602.727
3	1755340.008
4	1702225.75
5	1652075.806
6	1603585.274
7	1553508.994
8	1502965.082
9	1454600.922
10	1413261.267
11	1368478.456
12	1325444.2
13	1283769.923
14	1244148.568
15	1207120.955
16	1171064.487
17	1134690.681
18	1104005.974
19	1072047.392
20	1039809.233
21	1010921.155
22	980318.8704
23	952127.634
24	925542.0017
25	899904.9509
26	873372.4068
27	849975.8439
28	825873.1207
29	804453.4643
30	781343.7419
31	759759.3591
32	737908.9897
33	717869.5064
34	700211.7403
35	681322.0724
36	663387.9094
37	647419.6714
38	629548.8686
39	613842.2735
40	597860.4775
41	583347.4235
42	567276.6062
43	554105.4204
44	539898.9988
45	527131.774
46	513488.9204
47	501958.0597
48	490270.8773
49	479019.7032
50	467439.6277
51	457965.9506
52	448011.6462
53	437338.7387
54	427515.8432
55	419104.4857
56	410169.3219
57	401937.1878
58	393854.175
59	385722.2291
60	378931.4612
61	371799.5479
62	364704.8337
63	357692.7671
64	351290.7402
65	345107.7668
66	338798.1301
67	332357.6302
68	326623.7639
69	320979.7899
70	315938.0269
71	311057.9016
72	306134.9956
73	301678.5926
74	297642.3933
75	293063.5855
76	289430.1511
77	285192.0858
78	281501.7159
79	277453.8988
80	273949.0895
81	270805.4615
82	267385.0526
83	263985.3534
84	261061.4953
85	258109.3322
86	255451.0487
87	252400.7724
88	249747.6603
89	247278.4782
90	245035.6237
91	242553.3314
92	240814.6893
93	238916.0797
94	236508.632
95	234431.1481
96	232396.209
97	230329.2159
98	228595.1655
99	226864.7994
100	225156.7172
101	223593.6286
102	222017.6693
103	220403.4422
104	218949.1508
105	217436.2017
106	215868.9537
107	214638.6356
108	213082.879
109	211752.2668
110	210124.0744
111	208675.0673
112	207450.6411
113	206327.1408
114	205389.0773
115	204150.1191
116	202956.2572
117	201836.3366
118	200899.359
119	199933.4943
120	198896.954
121	197910.7599
122	196738.8028
123	195919.9366
124	194638.3959
125	193615.6139
126	192840.0198
127	191936.9084
128	191138.112
129	190172.7725
130	189376.1021
131	188765.2689
132	187872.4185
133	187174.2625
134	186351.9342
135	185493.0225
136	184846.5513
137	184061.7272
138	183212.3229
139	182639.2175
140	182004.2854
141	181261.373
142	180536.9629
143	179989.1613
144	179419.9574
145	178871.7861
146	178306.956
147	177706.5034
148	177198.8976
149	176608.2834
150	176031.837
151	175485.6611
152	175090.515
153	174580.5633
154	174052.4842
155	173505.4139
156	172911.465
157	172518.8812
158	172106.2122
159	171635.5617
160	171139.16
161	170588.5287
162	170215.794
163	169733.0736
164	169368.2249
165	168975.1523
166	168554.7166
167	168210.3237
168	167769.7765
169	167352.457
170	166831.6703
171	166417.536
172	166037.1878
173	165509.3113
174	165139.3829
175	164661.5776
176	164318.5574
177	164034.4056
178	163696.2846
179	163455.0418
180	163125.0864
181	162721.6682
182	162387.5641
183	161884.4928
184	161547.0815
185	161199.7485
186	160840.1471
187	160479.1694
188	160175.5247
189	159905.7762
190	159455.5385
191	159159.3548
192	158836.7484
193	158385.9081
194	158064.2414
195	157815.2612
196	157513.2152
197	157302.2519
198	157043.2615
199	156732.1886
200	156434.2479
201	155981.6563
202	155710.9013
203	155456.8333
204	155199.6516
205	154902.9911
206	154631.684
207	154454.7336
208	154289.504
209	154100.6927
210	153837.4657
211	153636.6715
212	153406.8721
213	153222.6662
214	152981.2999
215	152782.2764
216	152572.6696
217	152227.4649
218	152014.5541
219	151744.3769
220	151516.6881
221	151226.2323
222	151031.6847
223	150874.0645
224	150642.1982
225	150357.6393
226	150119.4882
227	149898.8575
228	149661.8032
229	149461.9891
230	149185.11
231	148947.2853
232	148752.8409
233	148468.3736
234	148262.0629
235	148060.2881
236	147695.9936
237	147459.3198
238	147189.2768
239	146930.2647
240	146748.2062
241	146543.0925
242	146172.1677
243	145864.2841
244	145593.6397
245	145458.6556
246	145319.2459
247	144997.1305
248	144810.5162
249	144608.8277
250	144472.3706
251	144233.241
252	143991.3257
253	143755.8897
254	143597.0278
255	143295.6694
256	143160.7745
257	142935.0693
258	142670.687
259	142451.1276
260	142254.2239
261	142031.9702
262	141909.4625
263	141680.8673
264	141419.8264
265	141238.3245
266	140994.3224
267	140875.3494
268	140616.3304
269	140332.6664
270	140115.4717
271	139982.9862
272	139752.2295
273	139493.9898
274	139178.4594
275	138999.0517
276	138900.6646
277	138629.8143
278	138332.9378
279	138096.7088
280	137832.1108
281	137612.8593
282	137480.1725
