iter	Passed	Remaining
0	137	82563
1	139	41675
2	141	28061
3	142	21245
4	144	17141
5	145	14419
6	147	12465
7	148	11003
8	150	9859
9	151	8956
10	153	8206
11	154	7583
12	156	7066
13	158	6616
14	159	6224
15	161	5880
16	162	5576
17	164	5309
18	165	5075
19	167	4863
20	169	4670
21	171	4495
22	173	4361
23	175	4216
24	177	4080
25	178	3951
26	180	3821
27	181	3714
28	183	3611
29	184	3514
30	186	3423
31	189	3361
32	191	3283
33	192	3208
34	194	3137
35	195	3069
36	197	3005
37	199	2943
38	200	2885
39	202	2831
40	204	2784
41	206	2739
42	207	2689
43	209	2643
44	210	2599
45	212	2557
46	213	2517
47	215	2478
48	217	2441
49	218	2405
50	221	2381
51	222	2348
52	224	2315
53	225	2284
54	227	2253
55	228	2224
56	230	2196
57	232	2169
58	233	2142
59	235	2116
60	236	2093
61	238	2070
62	240	2046
63	241	2024
64	243	2005
65	245	1984
66	246	1963
67	248	1943
68	249	1923
69	251	1906
70	253	1890
71	255	1871
72	256	1853
73	258	1836
74	259	1819
75	260	1799
76	262	1783
77	264	1767
78	265	1751
79	268	1742
80	269	1728
81	271	1714
82	272	1700
83	274	1686
84	276	1672
85	277	1659
86	278	1643
87	280	1631
88	281	1618
89	283	1606
90	285	1594
91	286	1582
92	287	1568
93	289	1557
94	290	1546
95	292	1536
96	294	1525
97	295	1515
98	297	1504
99	298	1494
100	300	1484
101	302	1475
102	303	1465
103	305	1455
104	306	1446
105	308	1436
106	309	1427
107	311	1418
108	312	1409
109	314	1400
110	316	1393
111	317	1385
112	319	1376
113	320	1368
114	322	1359
115	323	1351
116	325	1343
117	326	1335
118	328	1327
119	329	1319
120	331	1313
121	333	1308
122	335	1301
123	337	1296
124	339	1290
125	341	1283
126	342	1276
127	344	1270
128	346	1263
129	348	1260
130	350	1253
131	351	1247
132	353	1241
133	355	1235
134	356	1229
135	358	1223
136	360	1217
137	361	1211
138	363	1206
139	365	1201
140	367	1195
141	368	1189
142	370	1183
143	372	1178
144	373	1172
145	375	1166
146	376	1160
147	378	1155
148	380	1150
149	381	1144
150	383	1139
151	384	1133
152	386	1127
153	387	1122
154	389	1118
155	392	1115
156	393	1111
157	396	1109
158	398	1105
159	399	1099
160	402	1096
161	403	1092
162	406	1088
163	407	1084
164	409	1079
165	412	1077
166	413	1072
167	415	1067
168	416	1063
169	418	1058
170	419	1053
171	421	1049
172	423	1044
173	424	1040
174	426	1036
175	428	1033
176	430	1028
177	432	1024
178	433	1020
179	436	1018
180	437	1013
181	439	1009
182	441	1005
183	444	1003
184	445	999
185	447	995
186	448	991
187	450	987
188	452	983
189	453	979
190	455	975
191	457	971
192	460	971
193	462	967
194	464	964
195	465	959
196	467	956
197	468	952
198	470	948
199	471	943
200	473	939
201	475	937
202	477	934
203	479	930
204	481	926
205	483	923
206	484	920
207	486	916
208	488	913
209	491	913
210	493	909
211	495	906
212	496	902
213	498	899
214	500	895
215	501	891
216	503	887
217	504	884
218	506	880
219	507	877
220	509	873
221	511	870
222	512	866
223	514	862
224	515	859
225	517	855
226	518	852
227	520	848
228	521	845
229	523	841
230	524	838
231	526	835
232	527	831
233	529	828
234	530	824
235	532	821
236	534	817
237	535	814
238	537	811
239	538	808
240	540	805
241	542	801
242	543	798
243	545	795
244	546	791
245	548	788
246	549	785
247	551	782
248	552	778
249	554	775
250	555	772
251	557	769
252	558	766
253	560	763
254	562	760
255	563	757
256	565	754
257	566	751
258	568	748
259	569	745
260	571	742
261	573	739
262	575	736
263	576	734
264	578	731
265	580	729
266	582	726
267	583	723
268	585	720
269	587	717
270	589	715
271	590	712
272	592	709
273	594	706
274	595	704
275	597	701
276	599	698
277	600	695
278	602	693
279	604	690
280	605	687
281	607	684
282	608	682
